type,entry_time,exit_time,pnl,duration
LONG,2025-11-18 06:05:00+00:00,2025-12-10 05:25:00+00:00,-0.0023874903747854036,31640.0
SHORT,2025-12-10 05:30:00+00:00,2025-12-10 07:55:00+00:00,-0.00010260553339220365,145.0
LONG,2025-12-10 08:00:00+00:00,2025-12-11 04:10:00+00:00,-0.0042401525920635515,1210.0
SHORT,2025-12-11 04:15:00+00:00,2025-12-11 04:45:00+00:00,-0.0031261935262559266,30.0
LONG,2025-12-11 04:50:00+00:00,2025-12-15 03:50:00+00:00,0.005167903600424545,5700.0
SHORT,2025-12-15 03:55:00+00:00,2025-12-15 05:05:00+00:00,-0.0015677964030238406,70.0
LONG,2025-12-15 05:10:00+00:00,2025-12-16 03:50:00+00:00,0.00017035049171944865,1360.0
SHORT,2025-12-16 03:55:00+00:00,2025-12-16 07:15:00+00:00,0.001464955988422159,200.0
LONG,2025-12-16 07:20:00+00:00,2025-12-30 03:50:00+00:00,-0.001570151107642489,19950.0
SHORT,2025-12-30 03:55:00+00:00,2025-12-30 04:40:00+00:00,-0.0010598931446574675,45.0
LONG,2025-12-30 04:45:00+00:00,2026-01-07 03:50:00+00:00,0.008019677552828279,11465.0
SHORT,2026-01-07 03:55:00+00:00,2026-01-07 04:45:00+00:00,-0.000270510794948897,50.0
LONG,2026-01-07 04:50:00+00:00,2026-01-12 03:50:00+00:00,-0.019979626059577992,7140.0
SHORT,2026-01-12 03:55:00+00:00,2026-01-13 05:00:00+00:00,-0.008258125498832853,1505.0
